NRIC,Name,Class,Venue Allocated,Choice Allocated
0ab9550fcb864a0a0e352b47d1934325,yjtcujcefrdcxgc,3P,Singapore Aerospace Hub,1
913f89a4629c9af4905b98ea19002b06,otdcevrugxcfrqjftlqgkcgl,3K,Singapore Discovery Centre,1
cdba2a4247b9a34cf28be0430144f5fa,znzugprndcgvdegodprxzpo,3H,Heart of Worship,1
34553221d38bb1098087b6a2cddff02d,uzktdjmtr,3H,Heart of Worship,1
e53926d4d00de5d3ceebd37a5894e861,yjxndcojjc,3H,Civic District Tour: Itinerary 1,1
f57246bb6fecc652314e77bf675e7a83,tgceyzcirdce,3H ,Civic District Tour: Itinerary 2,1
185a1521868afcc5100471e9a4b0c8eb,fdcxzrhtg,3H,Singapore Maritime Trail 1,1
62fc9ec2d83ee4476c7226c01764cb7c,kgdthtgcuggqdvmjq,3H,Waste To Energy Processing Plant,1
24a1152c965b0e8788ee187723cffedd,gftdcvggmtgcehtg,3H,Waste To Energy Processing Plant,1
7c6ae5346a27dc42c92936cc568b816e,vrczkdceqrdjsrdf,3H,National Heritage Preservation Centre,1
facdad62ba3f5938fce79ccbec053bb2,vdqqzcjccktgxurc,3P,Media Corp,1
b503bfaa49ba14ec90f3c32c5f8313b3,vzlrtgce,3H,Singapore Aviation Academy,1
25cd72b305de54e62d5cdc34d957dd50,vgjcetzcexgl,3H,National Heritage Preservation Centre,1
25ac0cf555f34ac21367ad9aabd7d0cd,ejtfhgvrfygn,3E,Media Corp,1
60c15d6cef3dad302a89c87e18c546f2,kggftdxdqdcpdxzcsdxftrs,3Q,Singapore Maritime Trail 2,1
eb42d23e9895455b7452546bd7edd3d5,mdpdcsjtlrktgce,3C,Singapore Aerospace Hub,1
b9eb52de2024ad8a123c6823d8ea4109,ejtyrctjcefgxxdc,3M,National Heritage Preservation Centre,1
dad6a8e58d6f2bb097417696f16c7609,celdcstdrxldc,3P,Singapore Aerospace Hub,1
f1428a46f0989e67365c0397f381de5b,vzbqdczvtdsrq,3Q,Civic District Tour: Itinerary 2,1
9193b910c302951174e10727a4b4daae,nlvdckrguudrsrf,3P,Waste To Energy Processing Plant,1
676c99b977170b455b2c896ad5cef1ac,ejtlzldce,3C,National Heritage Preservation Centre,1
6706cdfbdcf4125bf90779025336a5a7,fdcyzcirdce,3H,Civic District Tour: Itinerary 1,1
8cc12e843488142f5e5798f7779a38f3,vjusdrkgx,3Q,Civic District Tour: Itinerary 2,1
dfa9183057ba71a7f1730586c0fe4237,vrqsghtr,3B,Singapore Maritime Trail 1,1
0ad78afe939a9073654ac1ecdda72fd5,nlvdcujcesrcudr,3J,Singapore Maritime Trail 2,1
dcc9beb0561b176828fb9ead3db7616d,dcnxgusggdcldoktrtsdr,3M,Singapore Aerospace Hub,1
8f1a47f95d2f2511f8a6ddbbc3e4b367,slcdctjmtzcsggf,3M,Waste To Energy Processing Plant,1
f77272c9ba68cb585284db9f4234a7a7,yjcdftdcdxrkfldkgfldnyr,3F,Singapore Maritime Trail 2,1
d25a684f3113d8da057ed93e10f5a186,yjugvvvrce,3H,Singapore Aerospace Hub,1
3ace903f7eb7acf4f91e2b2bb0980156,mtguyrdqrceygn,3E,Civic District Tour: Itinerary 2,1
55c56798ac71c17fcde8d510db4f28ab,irjceyzcaj,3E,Singapore Aerospace Hub,1
c779c7faa33766910a5e3a5b46967134,ndcrgvrdcfjt,3I,Heart of Worship,1
f1c43db15b14bb80669c2d770224c065,fgjfhggvjjceaxldc,3I,Heart of Worship,1
e6b28fc706a57b1cce60f17830c09b89,yjgvldo,3B,Civic District Tour: Itinerary 2,1
d357de6656bc8b77ae9c67f949aeda5d,mtzdugcktgcedcnxgu,3P,Fast Furious Prototyping,1
f7efad76acc2d1009e82d53ccfb5b03d,fdcugrlg,3I,Singapore Maritime Trail 1,1
37a2a43afb21c511a6879c3274deaa4c,izdchrtdc,3B,Heart of Worship,1
56e17d6b50321a4e9905ae6f9d4e9891,vgghrizdc,3H,Fast Furious Prototyping,1
8c7d6deb1456fb1cc5117eab081f40de,dktprckrpdszqdx,3C,Civic District Tour: Itinerary 2,1
a40fc83a54cea5ac2aefa8ab5e73904e,yzkfrcvgghtgceirdc,3L,Fast Furious Prototyping,1
271f25a913df30283aedefb9810bd61d,kdrvgktkdqodft,3L,Singapore Maritime Trail 1,1
660076154436004424786be2cdbdd0bf,sjtsdryrg,3P,Heart of Worship,1
d60d1a9acfb6080ecdb8a146557776b1,axldcvrce,3L,Fast Furious Prototyping,1
86c672d97817fb9c115d24117529996c,irjcebrdcvjceqrsg,3M,Waste To Energy Processing Plant,1
32efd7a8d6cae95667901dbe31d56298,axgcnjcvjj,3H,Singapore Aviation Academy,1
39b6a33ca6d162307b961c54690a3eac,yjgvmtdc,3P,Heart of Worship,1
1e37b8db1794a6d6bc64ab6e9ea48617,tzyzcyrg,3C,National Heritage Preservation Centre,1
d33b1ddc95c3a441b2d16a871de0d5ec,mtzdqrceizdc,3I,Media Corp,1
0062c10be1c188c8cb643eec49a131d7,eadxdftszqdx,3L,Waste To Energy Processing Plant,1
7b242e5af28b5f90653c56f5e3060039,ngchgvejt,3L,Waste To Energy Processing Plant,1
e829b180328a95428790fd6e42495e52,fdcfggvrq,3J,Fast Furious Prototyping,1
8bb26edd399d743d85c8dd32428b07da,odfgvntdrxldcdldcatdr,3L,Waste To Energy Processing Plant,1
985b26e0992c66dbc719878fa57e2360,yjktzdvdr,3K,Civic District Tour: Itinerary 2,1
a99e38d258eeaa53a26c81034f8adf79,cdkturcszqdx,3L,Singapore Aerospace Hub,1
76211ffb9395da343c4bff12c3354979,gqrxtddnladanzvvdftrww,3L,Waste To Energy Processing Plant,1
2d6910ead2a7c3d0da90bc20aef2a0f9,ddxjcfdchrtzr,3C,Singapore Maritime Trail 1,1
70be3a191ab3fc2c0232e0bf4c31b0ea,rkdmfdc,3I,Heart of Worship,1
e0359a379c4acb5ad34901f5c8b89976,rpdcvrhrizdc,3I,Waste To Energy Processing Plant,1
af2839ad5a2093b764d79e63a7a7d4f3,dxldcedxe,3P ,Waste To Energy Processing Plant,1
dcb10d4b4a9d056d868b7a439f3bdeb3,vjsgkttkdqodft,3K,Singapore Aerospace Hub,1
35f0e63c1c83f8da8d60b783229e54bd,dvvgcezjugcsdr,3P,Fast Furious Prototyping,1
8a71baa1a52753b6740277ffbf47ba23,qztdqqdnczxtdsrqatdrxzkk,3K,Singapore Maritime Trail 1,1
c8796e25bafaca1b3a83c0853622127e,vrqlzwdc,3E,Waste To Energy Processing Plant,1
6ca19924b519349247158809dbc6e692,ujcexryr,3M,National Heritage Preservation Centre,1
510b579326066871af0fa6e87c909209,wgceqrc,3I,Singapore Discovery Centre,1
0fcbc8fd2ac23c3a736831a8efee9eab,edaxrgvkjce,3B,Singapore Aviation Academy,1
64f6d38cc16095c820852b5bb33de862,vdzsdsgjcedcnxgu,3B,Civic District Tour: Itinerary 1,1
e04860a811ae0c67460d69761f328e03,ndxxgcfxrkcj,3B,Fast Furious Prototyping,1
6059c8488904e8b104486763d7ab070b,vdqlrqrce,3B,Singapore Aerospace Hub,1
04e9547300a90eefae101cedcc72c044,vrqljcetgceidprgx,3B,Media Corp,1
e6169fe36762590bda0df392e3b3b107,raczfdrqrlltadndq,3B,Waste To Energy Processing Plant,1
8e59a1caf72fea3cca35f241effda9c3,yjktzdjce,3B,Fast Furious Prototyping,1
2bc2ed106313ce3e754fab7d1421ce22,uzlrcevgdvprc,3C,Media Corp,1
abd26ca54f0cc4fd1040ada4bb972237,fdcsgcelrsddxjc,3B,Fast Furious Prototyping,1
e5fa6453127d88160c388895ee5c3ab4,cektdceugc,3B,Fast Furious Prototyping,1
66e7228fabb32092b94549e2f4c119e6,vzktdjbrc,3B,Civic District Tour: Itinerary 1,1
f0923df48fe8f6d978296d3d7a107830,qgvprcvrdqojjcsgdf,3B,Civic District Tour: Itinerary 2,1
67a80985890d3af2776b922483b0ec1a,drqdcyrdctdjarcrsxdq,3B,Waste To Energy Processing Plant,1
c34186276f1d9ca75f13c95428f0d03b,ozdxsrdfurc,3E,Singapore Maritime Trail 1,1
16201119dd80e486b366f7e8c674ec4f,ejtsrdctuggyzkfrc,3K,Singapore Aerospace Hub,1
7c33db87fd378b5b93db1a4525367c32,fgtezdcehtg,3F,Media Corp,1
f7e92ee78d8879797860afc9d526e52a,dxdprcftdndxkt,3K,Media Corp,1
e7ffe4d0b3d54c314258f41244eca500,qdxfrcjce,3F,Singapore Philatelic Museum,1
bf7d856fd30a9afccf7a715e64b411c9,yjktzdmtjlugcelgu,3K,Fast Furious Prototyping,1
dd8db56503b5a0efd22c8b734526f055,ugcemtdcesdrsgccgft,3F,Waste To Energy Processing Plant,1
63ac86ad5102270367d1d32b6587be11,sjtyzctjzqdxmzk,3K,Fast Furious Prototyping,1
eb4d8ef6bf47003b42f5cfc6c609585a,kjgodnqjyjcdftdcurnydld,3K,Waste To Energy Processing Plant,1
b82779781b1e7723ded289c4278d3210,txrndlsgfdcqrkfxl,3K,Heart of Worship,1
107c976cfa9ca04d4ffff85f74207192,wxdcmrkvduxgcmg,3K,Singapore Aviation Academy,1
bb29fb0fdb65ed59fc28ca16920981b7,egjxeglgj,3K,Fast Furious Prototyping,1
0cb5610e56dbd76e257f69933c4e376a,fjardkstjj,3K,Singapore Maritime Trail 2,1
41a168fd240114661804420aef4d85e4,vzsgfdc,3F,Media Corp,1
8709e3eacedc9e140c68d8baff981e30,odclrtgce,3F,Civic District Tour: Itinerary 1,1
609420af22db404977b77adc75004015,uzyrdtdj,3K,National Heritage Preservation Centre,1
9098eba8159e3f24757c399d6143d154,dkurcmtrndqadxdqszqdx,3K,Singapore Philatelic Museum,1
974b78e996f30443b10575c55c91f042,sjtlrcrdc,3K,Singapore Maritime Trail 2,1
57b19b104add2d051bc4226b1d96070d,vrqrceldce,3F,Singapore Maritime Trail 1,1
ff9b5cf8cb71dbd2e12c441eef16d3b6,rwxdcdtqdnzvbdllzq,3K,Waste To Energy Processing Plant,1
00460d8b301f86a34731d28cfdc3e193,xldcjcehtgceizc,3F,Singapore Discovery Centre,1
475d7ed578e946c91eedfcb7afc5361d,kgdtlzizdc,3F,Fast Furious Prototyping,1
4fa47fdf54c63b027012e46c40c3429f,vrztdrizdc,3F,Singapore Aviation Academy,1
79479d834571eebe942bd5426d194c0c,mtgchgyzc,3F,Singapore Discovery Centre,1
9ba1a0ab25494bdc49a46947f50b20ef,mtjjhgirdc,3F,Waste To Energy Processing Plant,1
bc4b2e13f7f0250a3af6b084150df3cb,kzhrlzg,3F,Singapore Discovery Centre,1
d504dd3a09c2e1521348cd860a94b11c,vzjyrcmtgce,3F,Singapore Aerospace Hub,1
0e9b7851b41a639dacd801176fa55cc3,ldoarcelz,3F,National Heritage Preservation Centre,1
75fd03c7e1e101e98477466408fa5730,gftdcfdc,3K,Fast Furious Prototyping,1
6046f1047b4ef22f9eb096a66433c130,otzdtlrwgcexldc,3F,Waste To Energy Processing Plant,1
6cee4888dc48ae5f97bd7cb88d8bec77,ezyrdtdj,3F,Singapore Maritime Trail 2,1
d52e32f3a96a64786814ae9b5279fbe5,ydqgk,3M,Fast Furious Prototyping,1
a64a2a45b911f8654fe50e6b7ef0c2fe,kjtyrcesdr,3K,Waste To Energy Processing Plant,1
ef927e5d0256de41c64406d5c6b47fd5,jtyjjcstdr,3K,Waste To Energy Processing Plant,1
caf03cf1600ac7519b987d75628e6c94,vggktgcetdj,3Q,Singapore Aviation Academy,1
95296e22f07eece8564803b2f7de5a30,fdcljceajjc,3F,Singapore Discovery Centre,1
b01f483754332f3e0df212fc3dbb8a22,dckjcfdl,3Q,Singapore Aviation Academy,1
de87730fad430d8153a70d7190dcf5a2,sjtxzrqrceyjcdftdc,3M,Fast Furious Prototyping,2
86ebc1f549f8e9a3e4ff67dad0956825,kgvpdeggftdc,3Q,Singapore Aerospace Hub,1
377e042c07a140093aa10ec747c5aac8,fgjyzcnddigv,3L,Singapore Maritime Trail 1,1
5fa008febc76649bfc7c1b84df0f4f26,nrjceugrmtjce,3M,Singapore Philatelic Museum,1
d26b1c5cdb150fba4e8c763eb0906343,kjtlgukrjcerxprc,3M,Civic District Tour: Itinerary 1,1
a362efa3c020b981d2c0e6ec47571a2c,tjwgrldce,3M,Singapore Aviation Academy,1
526751f37a7aef52e17db17820ca3ad0,yjktzdljce,3F,Fast Furious Prototyping,1
a0a434ae2d601c66acbeec843344b37e,ejtyrcetdcmdqgxjc,3D,Heart of Worship,1
f5a52da2f0f26e8f24bfc02208396cd7,vggyrdlr,3M,Heart of Worship,1
5c86b5535559a7ed790e6b64e63426a0,jcelrsdrkdqzgv,3D,Heart of Worship,1
93dd15c81267b8f8f146876dc9e54bfa,rkddmvdrlrcmtzce,3M,Singapore Aviation Academy,2
20e5239f624a6d47f58a50d904c74329,fdcrhtr,3F,Civic District Tour: Itinerary 2,1
64bad5e197d069eabc204850125f845d,fdcldcelr,3M,National Heritage Preservation Centre,1
d33b842539d5a1432ec53aec2d66ac05,htjzhrtgce,3M,Fast Furious Prototyping,1
403ee7f7118356ee0f7d763f4e534e0c,ljjckdceujc,3M,Fast Furious Prototyping,1
19f86ffd635c0274e7afb1cb86452896,tjceugr,3M,Fast Furious Prototyping,1
22a1e0586db282ce5f87e3cdf4073262,wdceirchtg,3M,Fast Furious Prototyping,1
f2ff929c9be65cd5e2b0875daaee4c12,ujcetdjizgagcydqrc,3M,Singapore Aerospace Hub,1
82412d1e345348cdac9b3d8176b29ad6,ygwwxglirgwzvrc,3F,Civic District Tour: Itinerary 1,1
c6150386e4bf0114ec3c7ae0ee1e0a23,udcemtzchtg,3D,Fast Furious Prototyping,1
47f6aceebacafe078289ccd808646097,ktgcvrmjce,3M,Singapore Discovery Centre,1
3707fd53c632986f5f954c54182b913f,vrzkrljce,3D,Fast Furious Prototyping,1
7e7384f22a91b5c3814af2bf5ee72da3,oxrldcktktdt,3D,Singapore Philatelic Museum,1
31f2043c59755967d7f18b2381f50da6,fdcqgcesgdfdzkfrc,3D,Singapore Aviation Academy,1
77497738d587764f4a4fb2d1de3087ce,wzirdcvr,3D,Singapore Aviation Academy,1
fbe8ef395c974f6db198ebd4185b59cf,dceyrceizdckgvulc,3D,Singapore Philatelic Museum,1
75f11b1d7d6754e3b5efa73e3bd32f28,ydqgkugc,3D,Civic District Tour: Itinerary 1,1
be88db327833b186981c6ed1315fa477,gftdcfdl,3D,Civic District Tour: Itinerary 1,1
6f598e861581b4dcf9c7d8d9d90d7761,sgxprcfkdr,3M,Fast Furious Prototyping,1
b549508a603e45265043976956daa056,vrguvrxgc,3D,Fast Furious Prototyping,1
eb6ce89718b535a794c3a81910cafcf6,qdogrldjkrqjc,3D,National Heritage Preservation Centre,5
bc4cb69af5773967d80df9a735f69314,kggfjtmtzcetjckfdcvgl,3M,Civic District Tour: Itinerary 1,1
84883b2651b299120bb26fb175f5386e,htdcesgugr,3D,Civic District Tour: Itinerary 2,1
3322b669393ea5fb4bc2eb9990285edd,kgadkfrdcwjsktrctzce,3Q,Singapore Aviation Academy,1
d094fcacac323b4e664de478819d3dd4,ydqgkktgc,3M,Singapore Philatelic Museum,2
f6401bd30b6cd108ff7485bf36854f8a,xldccesdrsrdf,3D,Civic District Tour: Itinerary 1,1
3845109e5c90cefb66c4d9bad05c9402,kdqzgvfdcqrcelrce,3D,Singapore Philatelic Museum,1
7ec5ca52f6f0e3a9d7b56f6007724566,fdcyzcyrdmgnxrm,3M,Singapore Discovery Centre,2
16a77f7a08910fa900d334170fc2d8f4,xrmtdxntgu,3D,Civic District Tour: Itinerary 1,1
1d1c01e9d8e1487aaf52ccdf16ef41f8,mtgceoztzd,3D,Singapore Maritime Trail 1,1
35adbeab39b997845cad61e93d3bb466,qdyzcmtjce,3F,Singapore Maritime Trail 2,1
6633d7d3f943be93dac9c620edb813b0,izhrirc,3Q,Civic District Tour: Itinerary 2,1
0501d08746c9ac36d94a687a9fd6885f,vggtdcugr,3D,Civic District Tour: Itinerary 2,1
caa399d0027f053c3c714394f81137af,rkddmdvgidcngxfdchtrxjce,3Q,National Heritage Preservation Centre,2
ac079de67810b901f1df07bd334ed6e4,axldcmtdc,3D,Singapore Discovery Centre,2
db556d67ca82bec4d574ba0c3ab2aa52,yjgvvdq,3D,Singapore Discovery Centre,5
c979bd39553e274049c0fff138a75a09,dzkfrcvrcyrdyrce,3D,National Heritage Preservation Centre,5
89d6fc76164e720c30e1699e21a09352,vrngtjzaxldcf,3Q,Heart of Worship,1
118d97acbb1c2eb66e5debea4e9036f9,ndxxlvfggmdryzc,3Q,Singapore Philatelic Museum,1
f24f04f98b5d5d2783d7b22d0b455daa,gnqzcnhtdceyrdir,3Q,Singapore Philatelic Museum,1
ccd211c4df805ca483e4101f84f27719,qztdqqdndxrwwrcaqjtnhdtxrc,3Q,Civic District Tour: Itinerary 1,1
